general_health,veg_perweek,feel_left_out,poverty_level,household_tenure,interview_language
GOOD,3,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
FAIR,22,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,4,,100-199% FPL,OWN,SPANISH
GOOD,0,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,SPANISH
FAIR,0,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
VERY GOOD,3,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
VERY GOOD,18,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
FAIR,9,HARDLY EVER,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,SPANISH
FAIR,8,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,14,,200-299% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,6,SOME OF THE TIME,0-99% FPL,OWN,SPANISH
POOR,7,SOME OF THE TIME,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,16,,100-199% FPL,OWN,SPANISH
FAIR,3,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
VERY GOOD,1,,300% FPL AND ABOVE,OWN,SPANISH
,6,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
,13,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
FAIR,0,SOME OF THE TIME,100-199% FPL,OWN,SPANISH
VERY GOOD,2,,200-299% FPL,OWN,SPANISH
VERY GOOD,3,HARDLY EVER,100-199% FPL,OWN,SPANISH
VERY GOOD,19,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,14,,200-299% FPL,OWN,SPANISH
GOOD,16,,100-199% FPL,OWN,SPANISH
,4,,300% FPL AND ABOVE,OWN,SPANISH
,4,HARDLY EVER,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
POOR,14,,0-99% FPL,OWN,SPANISH
VERY GOOD,4,,300% FPL AND ABOVE,OWN,SPANISH
GOOD,4,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
,2,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,SPANISH
,15,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
FAIR,0,HARDLY EVER,300% FPL AND ABOVE,OWN,SPANISH
VERY GOOD,14,,200-299% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
VERY GOOD,5,HARDLY EVER,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
FAIR,0,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,4,HARDLY EVER,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
FAIR,4,HARDLY EVER,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
VERY GOOD,8,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
,16,,0-99% FPL,OWN,SPANISH
GOOD,11,,300% FPL AND ABOVE,OWN,SPANISH
,1,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,9,HARDLY EVER,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
FAIR,3,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
VERY GOOD,16,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,1,,200-299% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
VERY GOOD,4,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,8,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
FAIR,8,HARDLY EVER,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,11,HARDLY EVER,300% FPL AND ABOVE,OWN,SPANISH
GOOD,3,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
VERY GOOD,6,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
VERY GOOD,17,,200-299% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,1,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,SPANISH
FAIR,13,,100-199% FPL,OWN,SPANISH
,8,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
FAIR,11,,200-299% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,2,,200-299% FPL,OWN,SPANISH
,9,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,3,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,SPANISH
,2,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,SPANISH
VERY GOOD,5,,0-99% FPL,OWN,SPANISH
FAIR,7,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
GOOD,2,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,SPANISH
VERY GOOD,5,,100-199% FPL,OWN,SPANISH
