general_health,veg_perweek,feel_left_out,poverty_level,household_tenure,interview_language
VERY GOOD,14,HARDLY EVER,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
FAIR,10,SOME OF THE TIME,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
POOR,5,,200-299% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
GOOD,4,HARDLY EVER,200-299% FPL,OWN,OTHER LANGUAGE
GOOD,3,HARDLY EVER,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
GOOD,7,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
FAIR,0,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
FAIR,3,HARDLY EVER,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
FAIR,4,,200-299% FPL,OWN,OTHER LANGUAGE
,7,HARDLY EVER,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
FAIR,3,SOME OF THE TIME,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
GOOD,3,HARDLY EVER,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
GOOD,3,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
FAIR,5,,200-299% FPL,OWN,OTHER LANGUAGE
GOOD,1,HARDLY EVER,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
GOOD,18,SOME OF THE TIME,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
GOOD,4,SOME OF THE TIME,0-99% FPL,OWN,OTHER LANGUAGE
VERY GOOD,3,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
GOOD,13,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
FAIR,2,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
GOOD,7,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
,2,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
FAIR,2,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
,4,,200-299% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
GOOD,5,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
,5,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
POOR,4,SOME OF THE TIME,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
GOOD,1,SOME OF THE TIME,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
POOR,4,,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
FAIR,10,,200-299% FPL,OWN,OTHER LANGUAGE
GOOD,6,,200-299% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
VERY GOOD,2,,100-199% FPL,OWN,OTHER LANGUAGE
FAIR,3,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
VERY GOOD,3,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
FAIR,6,,0-99% FPL,OWN,OTHER LANGUAGE
VERY GOOD,9,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
GOOD,6,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
VERY GOOD,5,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
FAIR,6,SOME OF THE TIME,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
VERY GOOD,2,HARDLY EVER,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
FAIR,11,SOME OF THE TIME,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
VERY GOOD,9,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
GOOD,5,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
FAIR,11,HARDLY EVER,200-299% FPL,OWN,OTHER LANGUAGE
POOR,15,HARDLY EVER,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
FAIR,1,SOME OF THE TIME,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
FAIR,5,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
GOOD,15,SOME OF THE TIME,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
FAIR,4,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
GOOD,4,SOME OF THE TIME,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
GOOD,3,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
FAIR,18,,100-199% FPL,OWN,OTHER LANGUAGE
FAIR,8,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
VERY GOOD,7,,0-99% FPL,OWN,OTHER LANGUAGE
GOOD,6,,100-199% FPL,OWN,OTHER LANGUAGE
POOR,2,OFTEN,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
GOOD,0,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
FAIR,4,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
POOR,3,OFTEN,0-99% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
VERY GOOD,14,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
GOOD,0,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
FAIR,7,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
VERY GOOD,0,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
POOR,5,,0-99% FPL,OWN,OTHER LANGUAGE
VERY GOOD,0,,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
,4,,300% FPL AND ABOVE,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
FAIR,11,HARDLY EVER,200-299% FPL,OWN,OTHER LANGUAGE
GOOD,16,HARDLY EVER,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
,7,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
GOOD,5,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
GOOD,3,,0-99% FPL,OWN,OTHER LANGUAGE
,7,HARDLY EVER,100-199% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
GOOD,2,,200-299% FPL,OWN,OTHER LANGUAGE
GOOD,3,,200-299% FPL,RENT/SOME OTHER ARRANGEMENT,OTHER LANGUAGE
FAIR,2,,200-299% FPL,OWN,OTHER LANGUAGE
GOOD,4,,0-99% FPL,OWN,OTHER LANGUAGE
FAIR,1,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
VERY GOOD,8,,300% FPL AND ABOVE,OWN,OTHER LANGUAGE
